,miRNA,ceRNA,species,database,type
7242,hsa-let-7a-5p,ARRDC1-AS1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
11344,hsa-let-7a-5p,TTTY15,Homo sapiens,RNAInter;ENCORI,miRNA-mRNA;miRNA-lncRNA
13779,hsa-let-7b-5p,AASDHPPT,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
13790,hsa-let-7b-5p,ABCC10,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
13931,hsa-let-7b-5p,ACSF3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
13943,hsa-let-7b-5p,ACTL6A,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
13949,hsa-let-7b-5p,ACTR3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
13962,hsa-let-7b-5p,ADAM15,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
13983,hsa-let-7b-5p,ADCY7,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
13999,hsa-let-7b-5p,ADIPOR2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
14098,hsa-let-7b-5p,ALG13,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14101,hsa-let-7b-5p,ALG8,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14218,hsa-let-7b-5p,ARF4,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14244,hsa-let-7b-5p,ARHGDIA,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14254,hsa-let-7b-5p,ARID2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14389,hsa-let-7b-5p,AUP1,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
14432,hsa-let-7b-5p,BAZ2A,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
14559,hsa-let-7b-5p,C15orf40,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14592,hsa-let-7b-5p,C1orf43,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14706,hsa-let-7b-5p,CASC3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14829,hsa-let-7b-5p,CD46,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14876,hsa-let-7b-5p,CDKN1A,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
14911,hsa-let-7b-5p,CEP112,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
14965,hsa-let-7b-5p,CHMP2B,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15044,hsa-let-7b-5p,CMTM7,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15102,hsa-let-7b-5p,COPB1,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15104,hsa-let-7b-5p,COPE,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15112,hsa-let-7b-5p,COQ10B,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15139,hsa-let-7b-5p,CPNE1,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15177,hsa-let-7b-5p,CS,Homo sapiens,NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
15184,hsa-let-7b-5p,CSNK1D,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
15215,hsa-let-7b-5p,CTDSPL2,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15233,hsa-let-7b-5p,CUL2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
15354,hsa-let-7b-5p,DENND4B,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
15419,hsa-let-7b-5p,DMTF1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15618,hsa-let-7b-5p,EIF4G2,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
15681,hsa-let-7b-5p,EPC1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15690,hsa-let-7b-5p,EPN2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15710,hsa-let-7b-5p,ERGIC1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15711,hsa-let-7b-5p,ERGIC2,Homo sapiens,NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
15720,hsa-let-7b-5p,ERP29,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15739,hsa-let-7b-5p,ETFDH,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15818,hsa-let-7b-5p,FAM57A,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
15845,hsa-let-7b-5p,FASTK,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15922,hsa-let-7b-5p,FNDC3B,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
15939,hsa-let-7b-5p,FOXRED1,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
16075,hsa-let-7b-5p,GGA3,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
16097,hsa-let-7b-5p,GLIS3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16115,hsa-let-7b-5p,GMPPA,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16137,hsa-let-7b-5p,GOLGA7,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16242,hsa-let-7b-5p,GYG1,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
16284,hsa-let-7b-5p,HEATR3,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16336,hsa-let-7b-5p,HM13,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16351,hsa-let-7b-5p,HMMR,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16463,hsa-let-7b-5p,IFRD1,Homo sapiens,RNAInter;miRWalk;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
16516,hsa-let-7b-5p,IMMT,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16710,hsa-let-7b-5p,KIAA0100,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16721,hsa-let-7b-5p,KIAA1429,Homo sapiens,NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
16826,hsa-let-7b-5p,LAMP1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16832,hsa-let-7b-5p,LARP1,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
16864,hsa-let-7b-5p,LETMD1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16877,hsa-let-7b-5p,LIG1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16974,hsa-let-7b-5p,LRRC28,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
16980,hsa-let-7b-5p,LRRC41,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
17026,hsa-let-7b-5p,LYPLA1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17063,hsa-let-7b-5p,MAL2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17080,hsa-let-7b-5p,MAP3K1,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17123,hsa-let-7b-5p,MARS,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
17130,hsa-let-7b-5p,MATR3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17149,hsa-let-7b-5p,MCFD2,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17163,hsa-let-7b-5p,MDM2,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17164,hsa-let-7b-5p,MDM4,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
17312,hsa-let-7b-5p,MPHOSPH9,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17368,hsa-let-7b-5p,MTAP,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17376,hsa-let-7b-5p,MTF2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17417,hsa-let-7b-5p,MYD88,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17425,hsa-let-7b-5p,MYLK,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17504,hsa-let-7b-5p,NCAPD2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
17518,hsa-let-7b-5p,NCOR2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17534,hsa-let-7b-5p,NDST3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17541,hsa-let-7b-5p,NDUFAF7,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
17612,hsa-let-7b-5p,NME4,Homo sapiens,NPInter_4.0;miRTarBase_9.0;RNAInter;miRDB_6.0;miRWalk,miRNA-mRNA;miRNA-lncRNA
17910,hsa-let-7b-5p,OXA1L,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
17934,hsa-let-7b-5p,PAFAH1B1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17935,hsa-let-7b-5p,PAFAH1B2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
17955,hsa-let-7b-5p,PAPOLA,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
17993,hsa-let-7b-5p,PBX2,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18086,hsa-let-7b-5p,PFKFB2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18094,hsa-let-7b-5p,PGAP2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18179,hsa-let-7b-5p,PKP4,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18206,hsa-let-7b-5p,PLEKHA2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18214,hsa-let-7b-5p,PLEKHH1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18247,hsa-let-7b-5p,PNISR,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18295,hsa-let-7b-5p,POU2F1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18325,hsa-let-7b-5p,PPP1R12C,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18340,hsa-let-7b-5p,PPP2R5E,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18344,hsa-let-7b-5p,PPP4C,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18364,hsa-let-7b-5p,PRDX3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18420,hsa-let-7b-5p,PRRC2A,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18465,hsa-let-7b-5p,PTGFRN,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18586,hsa-let-7b-5p,RALY,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18622,hsa-let-7b-5p,RASSF8,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18644,hsa-let-7b-5p,RBM39,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18656,hsa-let-7b-5p,RC3H1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18716,hsa-let-7b-5p,RHOBTB3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18732,hsa-let-7b-5p,RIOK3,Homo sapiens,RNAInter;miRWalk;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18745,hsa-let-7b-5p,RNASEH2B,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18759,hsa-let-7b-5p,RNF141,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18846,hsa-let-7b-5p,RPL35A,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18850,hsa-let-7b-5p,RPP14,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18856,hsa-let-7b-5p,RPS24,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18862,hsa-let-7b-5p,RPS6KB2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18898,hsa-let-7b-5p,RUFY2,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
18951,hsa-let-7b-5p,SCAMP3,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18964,hsa-let-7b-5p,SCML2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
18990,hsa-let-7b-5p,SEC23B,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
19019,hsa-let-7b-5p,SENP5,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19048,hsa-let-7b-5p,SERTAD3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19086,hsa-let-7b-5p,SH3GLB2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19141,hsa-let-7b-5p,SLC16A3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19216,hsa-let-7b-5p,SLC35F5,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19220,hsa-let-7b-5p,SLC37A3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19275,hsa-let-7b-5p,SLFN11,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19379,hsa-let-7b-5p,SOD2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
19385,hsa-let-7b-5p,SORBS2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19396,hsa-let-7b-5p,SP100,Homo sapiens,NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
19444,hsa-let-7b-5p,SPEN,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19492,hsa-let-7b-5p,SRGAP3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19495,hsa-let-7b-5p,SRRT,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19524,hsa-let-7b-5p,STARD3NL,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19593,hsa-let-7b-5p,SUPT4H1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19800,hsa-let-7b-5p,TINF2,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19851,hsa-let-7b-5p,TMEM138,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19853,hsa-let-7b-5p,TMEM143,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
19859,hsa-let-7b-5p,TMEM167A,Homo sapiens,NPInter_4.0;miRTarBase_9.0;RNAInter;miRDB_6.0;miRWalk,miRNA-mRNA;miRNA-lncRNA
19884,hsa-let-7b-5p,TMEM243,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20103,hsa-let-7b-5p,TTC31,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20114,hsa-let-7b-5p,TTLL4,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20117,hsa-let-7b-5p,TTTY15,Homo sapiens,RNAInter;ENCORI,miRNA-mRNA;miRNA-lncRNA
20165,hsa-let-7b-5p,UBE2D3,Homo sapiens,RNAInter;miRWalk;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
20180,hsa-let-7b-5p,UBE2T,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20182,hsa-let-7b-5p,UBE2V1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20199,hsa-let-7b-5p,UBXN8,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
20309,hsa-let-7b-5p,VPS8,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20351,hsa-let-7b-5p,WDR48,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20369,hsa-let-7b-5p,WNK1,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
20392,hsa-let-7b-5p,XPO1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20406,hsa-let-7b-5p,YAF2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20512,hsa-let-7b-5p,ZMYM2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
20520,hsa-let-7b-5p,ZNF117,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20627,hsa-let-7b-5p,ZNF518A,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
20652,hsa-let-7b-5p,ZNF587,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
20903,hsa-let-7c,EWSR1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
21022,hsa-let-7c,NME4,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
21136,hsa-let-7c,PPP2R5E,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
21152,hsa-let-7c,RAB10,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
21219,hsa-let-7c,RPS24,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
27687,hsa-let-7c-5p,TTTY15,Homo sapiens,RNAInter;ENCORI,miRNA-mRNA;miRNA-lncRNA
28250,hsa-let-7d-3p,ADCY7,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
28306,hsa-let-7d-3p,ANLN,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
28314,hsa-let-7d-3p,AP1G2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
28691,hsa-let-7d-3p,COPB1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
28700,hsa-let-7d-3p,COX11,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
28734,hsa-let-7d-3p,CTDSPL2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
28887,hsa-let-7d-3p,EIF4G2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
28931,hsa-let-7d-3p,ERGIC1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29049,hsa-let-7d-3p,G2E3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29108,hsa-let-7d-3p,GMPPA,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29117,hsa-let-7d-3p,GOLGA7,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29272,hsa-let-7d-3p,INIP,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29381,hsa-let-7d-3p,LARP1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29412,hsa-let-7d-3p,LINC00598,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
29518,hsa-let-7d-3p,MCFD2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29840,hsa-let-7d-3p,OSTM1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29914,hsa-let-7d-3p,PGAP2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
29930,hsa-let-7d-3p,PIAS1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30073,hsa-let-7d-3p,PTGFRN,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30105,hsa-let-7d-3p,RAB3GAP2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30289,hsa-let-7d-3p,SCAMP3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30304,hsa-let-7d-3p,SEC23B,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30362,hsa-let-7d-3p,SLC16A3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30377,hsa-let-7d-3p,SLC2A8,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30461,hsa-let-7d-3p,SORBS2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30465,hsa-let-7d-3p,SP100,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30508,hsa-let-7d-3p,SSX2IP,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30510,hsa-let-7d-3p,ST3GAL3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30519,hsa-let-7d-3p,STARD3NL,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30620,hsa-let-7d-3p,TFRC,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30670,hsa-let-7d-3p,TMEM243,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30708,hsa-let-7d-3p,TPD52,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30794,hsa-let-7d-3p,UBE2D3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30876,hsa-let-7d-3p,XPO1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
30969,hsa-let-7d-3p,ZNF518A,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
35822,hsa-let-7d-5p,TTTY15,Homo sapiens,RNAInter;ENCORI,miRNA-mRNA;miRNA-lncRNA
36765,hsa-let-7e-3p,AP1G2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
36798,hsa-let-7e-3p,ARID2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37100,hsa-let-7e-3p,CEP112,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37132,hsa-let-7e-3p,CIRBP,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37187,hsa-let-7e-3p,COQ10B,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37214,hsa-let-7e-3p,CSNK1D,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37275,hsa-let-7e-3p,DDX5,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37281,hsa-let-7e-3p,DENND4B,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37307,hsa-let-7e-3p,DMTF1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37331,hsa-let-7e-3p,DPY19L3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
37665,hsa-let-7e-3p,GPS1,Homo sapiens,RNAInter;miRWalk;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
